# explosion 2, begins at 7:45 from https://www.youtube.com/watch?v=ts34UxRfTx8
t_fps,D_pix
20.0, 129
40.0, 140
60.0, 151
80.0, 160
100.0, 170
120.0, 183
140.0, 194
160.0, 207
180.0, 210
200.0, 226
